Epoch,Accuracy,F1,Jaccard,Dice,Recall,Precision,Validation_Loss,Train_Loss
1,0.8251710811131437,0.699373525629918,0.5780186500997166,0.6993735256299181,0.6716965479631825,0.8083647362702219,0.6706163063645363,0.7200535216669398
2,0.8457851678552762,0.7157567697314554,0.6022780698351663,0.7157567697314553,0.7257806785727224,0.8014599804897199,0.6023061648011208,0.632406117409233
3,0.8675508633465834,0.7451182625904137,0.6362780945380332,0.7451182625904137,0.7650058121314451,0.7972082093026324,0.5659037679433823,0.5859772771831573
4,0.8639342616981184,0.760197077725116,0.6516795331331292,0.760197077725116,0.7484329684552355,0.8403000507144993,0.524764796718955,0.5562264977946995
5,0.8510685235681669,0.7454868070427899,0.6366936558188804,0.74548680704279,0.7314031635221033,0.8456854034911396,0.5249852035194635,0.526977077243835
6,0.8659281663491692,0.7629067723271427,0.6573593337769876,0.7629067723271427,0.7577458500569918,0.842835113781519,0.4917880594730377,0.4983636811962278
7,0.8703327984877036,0.7531427577635931,0.6483797001115611,0.7531427577635931,0.7674456576238149,0.8121940996955408,0.4884055554866791,0.4811678747023184
8,0.8768919286593585,0.7714547426380195,0.6700212434133399,0.7714547426380196,0.7870581707093982,0.8297880288986322,0.46980532445013523,0.462092011932313
9,0.8625921329981844,0.7695749721927545,0.6655229971109949,0.7695749721927546,0.7350990072908845,0.8828658274191422,0.47410760819911957,0.45645612313991457
10,0.8913132573517275,0.7915881533965202,0.6930141357590529,0.7915881533965202,0.8295160773833808,0.8163443509613472,0.42061050049960613,0.43822161395718734
11,0.8899293818943937,0.778131343346234,0.6762943811633625,0.778131343346234,0.8432324183319442,0.7812024652552212,0.4349475782364607,0.4327747699782604
12,0.8783769204582966,0.775962228049013,0.6712564338235785,0.7759622280490132,0.8067573851578888,0.8129002706000693,0.44440436363220215,0.42556766754998937
13,0.896608164612676,0.7976115183750357,0.700899627822884,0.7976115183750357,0.834545902172272,0.8201281891344178,0.40217919554561377,0.4212365055412758
14,0.8642142927142936,0.7733234714702144,0.6688775818201544,0.7733234714702145,0.7453144310182455,0.8781453085374937,0.4599977992475033,0.4099240694928357
15,0.8910673974265515,0.7962028648669592,0.6972331373909693,0.7962028648669593,0.8092702360759637,0.8425571316740148,0.4023326374590397,0.40035261072981077
16,0.8904718210999395,0.7993658587487438,0.6981558337759968,0.7993658587487438,0.8268888867954922,0.8239177814402056,0.4042814765125513,0.40653207675209196
17,0.8935151435959507,0.791578618885557,0.6923806922780577,0.7915786188855569,0.8145835271883415,0.829981963878128,0.40113749355077744,0.39247450044774634
18,0.8911682988556338,0.802918176358278,0.7037645858822172,0.802918176358278,0.8079735609183626,0.8514047989330588,0.4000377915799618,0.38973635047908844
19,0.9018313448194047,0.8077035497705599,0.7099572399423699,0.8077035497705599,0.8321707544822384,0.8319409173210182,0.3800913989543915,0.3836097847523652
20,0.8983897894201144,0.8106039127077377,0.7144408369592994,0.8106039127077377,0.8371235630627212,0.8382279511522304,0.37741390243172646,0.377457458789893
21,0.8986896998445753,0.8055094011260011,0.7088256051645601,0.8055094011260011,0.8316764938927581,0.8345904249733408,0.38388097658753395,0.37026688069339814
22,0.9022329625949054,0.805945596163552,0.7093493784231091,0.8059455961635519,0.8332473693942539,0.8313185906514438,0.377192878164351,0.3760735015934846
23,0.8980265872579225,0.8037239230187223,0.708044839923174,0.8037239230187224,0.8430415883924367,0.8241133116030676,0.3846346829086542,0.37441196533169335
24,0.8960964578977773,0.8113985976769189,0.7150331219089903,0.8113985976769188,0.816905414168509,0.8631896651315617,0.3759938608855009,0.3762019100620991
25,0.900435165620186,0.8077969229404557,0.7112835496485168,0.8077969229404557,0.84152448549283,0.8283635652460922,0.3776457328349352,0.3744237100280176
26,0.9036818490901464,0.8122847801453988,0.717793885418671,0.8122847801453988,0.8568745098874521,0.8215805421361533,0.3725973507389426,0.36243758004481397
27,0.9022422575614821,0.8147767372201942,0.7192003026955334,0.8147767372201941,0.83374462853612,0.8468575591111384,0.36845846101641655,0.360961096141282
28,0.9070944987552266,0.8209083281293069,0.726892247764432,0.8209083281293069,0.8525623764866873,0.837363130096629,0.3579438319429755,0.3575752429136141
29,0.9047491584025639,0.8175196150544386,0.7222912870473178,0.8175196150544386,0.8524342917086236,0.8285599152621254,0.36343318596482277,0.35596066103206847
30,0.9028765181420555,0.812760692583437,0.7188298303583922,0.812760692583437,0.8369178591067722,0.843415453358143,0.367549043148756,0.35946238604117564
31,0.9064394991162797,0.8242513331658873,0.7302864741847975,0.8242513331658873,0.8489701338966601,0.8430969218466413,0.35518019180744886,0.3499217636472597
32,0.9019141935966384,0.8175902906787095,0.7235785275327531,0.8175902906787094,0.8306050791145054,0.852359515541613,0.3666694303974509,0.35574084426474384
33,0.9044209869814591,0.8195868347580576,0.725055233051384,0.8195868347580575,0.8365555443751584,0.8519438054208922,0.3645012741908431,0.35133387383044234
34,0.9074381976060464,0.8231530550495938,0.7293765975994768,0.8231530550495938,0.8654975365358422,0.8284687140121468,0.3621393460780382,0.35292750831664077
35,0.9039717660823339,0.8149407308682403,0.7194580911461775,0.8149407308682401,0.8224356729027635,0.8596052129214264,0.3655855432152748,0.3487069325184259
36,0.9062283475634078,0.8209531650629286,0.7287713126226878,0.8209531650629286,0.8631484813299581,0.8264310361389314,0.3614779058843851,0.339626383359038
37,0.9035816998548911,0.8164505008571212,0.7214012742173244,0.8164505008571211,0.8332549499486196,0.8493880090434544,0.36261043418198824,0.34035255859686636
38,0.903519160310987,0.8132986494433686,0.7191876799641742,0.8132986494433687,0.8420701744907791,0.8343279852446789,0.3676588675007224,0.3440310999633759
39,0.907760244020274,0.8256673541128434,0.7338490427104344,0.8256673541128434,0.8464383946406402,0.8522120004159212,0.35544927697628736,0.3444004406140545
40,0.9074165988975847,0.8209197674442822,0.7314541505925802,0.8209197674442823,0.8598278678034997,0.8335536345751393,0.3652862096205354,0.3427505388738602
41,0.9079063845352388,0.8226679237066546,0.7309413524939924,0.8226679237066546,0.8607365834473063,0.8268767209385802,0.3571584327146411,0.33849098269395
42,0.9074026295836543,0.8187635348459866,0.7260972573632625,0.8187635348459865,0.8584005974091724,0.8285583043697692,0.36443702410906553,0.33566108181720644
43,0.9109728101273658,0.8288966132710093,0.7376407727970824,0.8288966132710094,0.8513478621276358,0.8494156567746445,0.3427675860002637,0.334415438958979
44,0.9120067005426111,0.8244638683542881,0.7324535521234186,0.8244638683542882,0.8802703944168143,0.8141218275586255,0.3532579280436039,0.3308484871087112
45,0.9129585481025804,0.8310879478540663,0.7414350934730327,0.8310879478540661,0.8775638065310282,0.8280643644102172,0.34464381355792284,0.3300776868823945
46,0.9094982953138755,0.8231590582034094,0.7314312500077911,0.8231590582034094,0.8501179656511809,0.8450171482043972,0.34802439622581005,0.3353923271725497
47,0.9076744939239931,0.8180898226884671,0.7262297216375025,0.8180898226884671,0.8590985961583617,0.8298619712491582,0.36870757676661015,0.32795792782869865
48,0.9066684884084782,0.8205993700692175,0.7281573445757529,0.8205993700692175,0.8409625472797865,0.8471953631998577,0.35568168573081493,0.33145346674393483
49,0.9107138942664778,0.8225173091580438,0.7326901764748719,0.8225173091580439,0.8677788088149607,0.8284041900309099,0.3514223247766495,0.33331111495889076
50,0.9082268191055513,0.8268395937548318,0.737205246718975,0.8268395937548318,0.8474601503062031,0.8550560736668033,0.34543945640325546,0.32648257324545404
